"corp_code","induty_code"
"00141440","13219"
"00141477","24123"
"00141529","108"
"00141556","73203"
"00141608","291"
"00141626","212"
"00141671","71310"
"00141875","102"
"00142564","4111"
"00142591","25992"
"00142661","105"
"00142698","26"
"00142713","1419"
"00142865","22299"
"00142883","292"
"00143013","26"
"00143226","262"
"00143262","422"
"00143314","2622"
"00143527","649"
"00143651","715"
"00143794","13225"
"00143907","24123"
"00144012","22212"
"00144021","14111"
"00144164","46713"
"00144243","29119"
"00144252","23311"
"00144395","4632"
"00144562","259"
"00144650","72111"
"00144720","2611"
"00144766","41221"
"00144818","212"
"00144933","23322"
"00145109","212"
"00145163","211"
"00145190","66121"
"00145260","22231"
"00145437","591"
"00145446","16211"
"00145464","24221"
"00145473","467"
"00145534","2629"
"00145552","20111"
"00145598","212"
"00145668","411"
"00145686","46731"
"00145738","2811"
"00145862","35200"
"00145880","2411"
"00145914","265"
"00146083","212"
"00146214","212"
"00146232","41221"
"00146269","13101"
"00146296","466"
"00146427","591"
"00146436","30320"
"00146454","212"
"00146542","133"
"00146560","303"
"00146649","64992"
"00146719","13212"
"00146861","26292"
"00147082","273"
"00147152","303"
"00147222","13101"
"00147295","64121"
"00147772","465"
"00147860","303"
"00147949","2629"
"00147994","2629"
"00148188","64132"
"00148276","71310"
"00148328","20202"
"00148364","64992"
"00148443","715"
"00148461","23992"
"00148470","28123"
"00148504","64121"
"00148522","252"
"00148531","24121"
"00148540","64992"
"00148595","2511"
"00148610","66121"
"00148717","20501"
"00148744","65121"
"00148832","64121"
"00148896","64992"
"00148920","20411"
"00148939","15110"
"00148948","20312"
"00148984","2321"
"00148993","64992"
"00149026","64992"
"00149239","24222"
"00149248","17105"
"00149266","649"
"00149293","64121"
"00149345","108"
"00149354","212"
"00149594","64911"
"00149646","64121"
"00149655","467"
"00149664","41112"
"00149770","46712"
"00149804","303"
"00149840","17105"
"00149877","21230"
"00149947","212"
"00150165","204"
"00150183","26"
"00150226","30203"
"00150244","11122"
"00150439","2225"
"00150536","212"
"00150633","320"
"00150828","41221"
"00150855","64131"
"00151128","303"
"00151298","24123"
"00151368","49301"
"00151395","49220"
"00151447","46417"
"00151605","303"
"00151614","46800"
"00151863","29180"
"00152039","303"
"00152127","715"
"00152260","465"
"00152385","259"
"00152437","31114"
"00152589","20423"
"00152631","26"
"00152686","2622"
"00152729","2612"
"00152783","27219"
"00152862","64992"
"00152880","41221"
"00152914","1419"
"00152950","20202"
"00153126","64992"
"00153278","292"
"00153339","20129"
"00153375","2413"
"00153393","20501"
"00153524","1721"
"00153551","26429"
"00153621","29271"
"00153755","303"
"00153852","2642"
"00153861","41221"
"00154055","303"
"00154189","14120"
"00154204","13401"
"00154329","141"
"00154392","10897"
"00154417","23192"
"00154426","591"
"00154462","20423"
"00154693","29180"
"00154718","28201"
"00154727","46510"
"00155124","303"
"00155151","303"
"00155212","72129"
"00155258","2419"
"00155276","282"
"00155319","2411"
"00155355","108"
"00155373","259"
"00155382","20132"
"00155452","11121"
"00155498","41112"
"00155531","64992"
"00155586","2629"
